
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2026-05-29T07:18:00.911+08:00  INFO 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Starting SearchServiceApplicationKt using Java 17.0.2 with PID 9616 (C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service\build\libs\bible-search-service.jar started by PC in C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service)
2026-05-29T07:18:00.924+08:00 DEBUG 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Running with Spring Boot v3.2.2, Spring v6.1.3
2026-05-29T07:19:00.030+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Amos: 146 verses (total 22350)
2026-05-29T07:19:00.034+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Obadiah: 21 verses (total 22371)
2026-05-29T07:19:00.056+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Jonah: 48 verses (total 22419)
2026-05-29T07:19:00.083+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Micah: 105 verses (total 22524)
2026-05-29T07:19:00.096+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Nahum: 47 verses (total 22571)
2026-05-29T07:19:00.110+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Habakkuk: 56 verses (total 22627)
2026-05-29T07:19:00.120+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Zephaniah: 53 verses (total 22680)
2026-05-29T07:19:00.127+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Haggai: 38 verses (total 22718)
2026-05-29T07:19:00.175+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Zechariah: 211 verses (total 22929)
2026-05-29T07:19:00.190+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Malachi: 55 verses (total 22984)
2026-05-29T07:19:00.258+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Matthew: 0 verses (total 22984)
2026-05-29T07:19:00.295+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Mark: 0 verses (total 22984)
2026-05-29T07:19:00.348+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Luke: 0 verses (total 22984)
2026-05-29T07:19:00.416+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] John: 0 verses (total 22984)
2026-05-29T07:19:00.509+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Acts: 0 verses (total 22984)
2026-05-29T07:19:00.564+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Romans: 0 verses (total 22984)
2026-05-29T07:19:00.615+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] I Corinthians: 0 verses (total 22984)
2026-05-29T07:19:00.639+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] II Corinthians: 0 verses (total 22984)
2026-05-29T07:19:00.662+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Galatians: 0 verses (total 22984)
2026-05-29T07:19:00.676+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Ephesians: 0 verses (total 22984)
2026-05-29T07:19:00.684+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Philippians: 0 verses (total 22984)
2026-05-29T07:19:00.693+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Colossians: 0 verses (total 22984)
2026-05-29T07:19:00.704+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] I Thessalonians: 0 verses (total 22984)
2026-05-29T07:19:00.725+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] II Thessalonians: 0 verses (total 22984)
2026-05-29T07:19:00.738+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] I Timothy: 0 verses (total 22984)
2026-05-29T07:19:00.747+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] II Timothy: 0 verses (total 22984)
2026-05-29T07:19:00.753+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Titus: 0 verses (total 22984)
2026-05-29T07:19:00.755+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Philemon: 0 verses (total 22984)
2026-05-29T07:19:00.804+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Hebrews: 0 verses (total 22984)
2026-05-29T07:19:00.813+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] James: 0 verses (total 22984)
2026-05-29T07:19:00.828+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] I Peter: 0 verses (total 22984)
2026-05-29T07:19:00.836+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] II Peter: 0 verses (total 22984)
2026-05-29T07:19:00.844+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] I John: 0 verses (total 22984)
2026-05-29T07:19:00.846+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] II John: 0 verses (total 22984)
2026-05-29T07:19:00.852+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] III John: 0 verses (total 22984)
2026-05-29T07:19:00.855+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Jude: 0 verses (total 22984)
2026-05-29T07:19:00.899+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Revelation of John: 0 verses (total 22984)
2026-05-29T07:19:00.921+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Baruch: 141 verses (total 23125)
2026-05-29T07:19:00.933+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Bel and the Dragon: 42 verses (total 23167)
2026-05-29T07:19:00.940+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Epistle of Jeremiah: 72 verses (total 23239)
2026-05-29T07:19:01.277+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] I Enoch: 0 verses (total 23239)
